"","kTotal","kWithin","kOut","kDiff"
"ENSXMAG00000002760",438.490424194428,332.141768181907,106.34865601252,225.793112169387
"ENSXMAG00000002825",625.252259803982,439.501937679361,185.750322124621,253.75161555474
"ENSXMAG00000002868",543.847860337789,427.882537534021,115.965322803768,311.917214730252
"ENSXMAG00000002921",712.186116568855,453.180857737867,259.005258830988,194.17559890688
"ENSXMAG00000002944",694.131529836725,510.684632472289,183.446897364436,327.237735107854
"ENSXMAG00000002948",761.185711412725,484.085997374682,277.099714038043,206.98628333664
"ENSXMAG00000003030",665.367757622029,456.030677559339,209.33708006269,246.693597496648
"ENSXMAG00000003051",487.365215790685,340.05919629389,147.306019496795,192.753176797095
"ENSXMAG00000003059",480.092477609731,357.177671779786,122.914805829946,234.26286594984
"ENSXMAG00000003116",673.252161623008,389.236619044421,284.015542578588,105.221076465833
"ENSXMAG00000003117",546.228706634474,440.218456988882,106.010249645593,334.208207343289
"ENSXMAG00000003162",784.063991056787,541.040398333699,243.023592723088,298.016805610611
"ENSXMAG00000003205",584.499947081396,394.528871661466,189.971075419931,204.557796241535
"ENSXMAG00000003237",633.415509702918,388.475093148264,244.940416554655,143.534676593609
"ENSXMAG00000003342",791.942670798756,580.699520559781,211.243150238975,369.456370320806
"ENSXMAG00000003539",620.337113010246,452.17819565136,168.158917358886,284.019278292474
"ENSXMAG00000003549",531.164993388538,358.476709509469,172.68828387907,185.788425630399
"ENSXMAG00000003639",602.280168771238,371.88895270111,230.391216070128,141.497736630981
"ENSXMAG00000003649",696.813222816551,545.748938037354,151.064284779197,394.684653258158
"ENSXMAG00000003715",747.608813927559,534.280250867723,213.328563059835,320.951687807888
"ENSXMAG00000003717",712.516806343084,523.545936364247,188.970869978837,334.575066385411
"ENSXMAG00000003791",466.855249685796,381.023231407682,85.8320182781138,295.191213129568
"ENSXMAG00000003814",652.434438390317,494.956449064299,157.477989326018,337.478459738281
"ENSXMAG00000003882",671.235456252699,454.744517347312,216.490938905387,238.253578441925
"ENSXMAG00000003890",678.49333728121,491.613207785149,186.880129496061,304.733078289088
"ENSXMAG00000003924",700.057276299951,448.441068698074,251.616207601877,196.824861096197
"ENSXMAG00000003945",595.265215723116,449.08759417998,146.177621543136,302.909972636843
"ENSXMAG00000003962",644.572069767652,479.277644861866,165.294424905787,313.983219956079
"ENSXMAG00000004029",652.49649207945,459.034082806308,193.462409273142,265.571673533166
"ENSXMAG00000004039",627.021926817627,496.016992920467,131.004933897161,365.012059023306
"ENSXMAG00000004084",512.638821833054,402.925887682956,109.712934150098,293.212953532858
"ENSXMAG00000004086",610.701491814992,409.867906554945,200.833585260047,209.034321294898
"ENSXMAG00000004093",577.505248438631,393.316379047073,184.188869391558,209.127509655515
"ENSXMAG00000004131",599.769203913053,408.010376376935,191.758827536118,216.251548840817
"ENSXMAG00000004218",683.9118168927,492.78089601397,191.13092087873,301.649975135241
"ENSXMAG00000004244",582.646192585984,412.349106692911,170.297085893073,242.052020799838
"ENSXMAG00000004252",507.539191368152,350.196952999378,157.342238368774,192.854714630605
"ENSXMAG00000004255",671.363786565288,437.7266701676,233.637116397688,204.089553769912
"ENSXMAG00000004407",779.6640255448,564.616501606749,215.047523938051,349.568977668698
"ENSXMAG00000004410",632.809158505043,414.870145310923,217.939013194121,196.931132116802
"ENSXMAG00000004446",679.663111986102,476.702018966075,202.961093020027,273.740925946048
"ENSXMAG00000004499",485.973431501018,333.781913046958,152.191518454061,181.590394592897
"ENSXMAG00000004582",697.369179839233,475.230851388466,222.138328450768,253.092522937698
"ENSXMAG00000004583",607.568482200891,439.207184922353,168.361297278539,270.845887643814
"ENSXMAG00000004585",698.40136477047,410.302581148029,288.098783622441,122.203797525588
"ENSXMAG00000004608",503.675861940814,409.414823735594,94.2610382052198,315.153785530375
"ENSXMAG00000004629",911.0037774081,593.498440718425,317.505336689675,275.99310402875
"ENSXMAG00000004642",692.969836927732,450.417122769859,242.552714157873,207.864408611985
"ENSXMAG00000004709",434.230626761653,338.186203870987,96.0444228906657,242.141780980322
"ENSXMAG00000004712",413.642288206563,331.682000420145,81.9602877864187,249.721712633726
"ENSXMAG00000004731",533.453958982377,433.591124082836,99.8628348995411,333.728289183294
"ENSXMAG00000004756",552.51749734568,365.964567598352,186.552929747328,179.411637851024
"ENSXMAG00000004882",533.288805932668,385.494518675464,147.794287257203,237.700231418261
"ENSXMAG00000004920",659.761636173504,466.744759981103,193.016876192402,273.727883788701
"ENSXMAG00000004933",711.1429183297,509.597376349822,201.545541979878,308.051834369944
"ENSXMAG00000004937",640.705804318968,428.745155215319,211.960649103649,216.78450611167
"ENSXMAG00000004961",526.257844790808,391.421416429064,134.836428361744,256.584988067321
"ENSXMAG00000005037",629.22227699314,447.794346630965,181.427930362176,266.366416268789
"ENSXMAG00000005098",692.47418143751,442.504860703563,249.969320733948,192.535539969615
"ENSXMAG00000005205",702.977372199777,432.558152020341,270.419220179436,162.138931840904
"ENSXMAG00000005304",647.804454370906,477.49933271897,170.305121651936,307.194211067034
"ENSXMAG00000005388",623.110865130081,386.536226835327,236.574638294754,149.961588540573
"ENSXMAG00000005403",624.004828224739,378.718325787605,245.286502437134,133.431823350471
"ENSXMAG00000005424",628.346510403577,443.599500126711,184.747010276866,258.852489849845
"ENSXMAG00000005429",587.301947803419,409.954862879684,177.347084923735,232.607777955949
"ENSXMAG00000005438",711.529396497759,472.335206691623,239.194189806136,233.141016885487
