"","kTotal","kWithin","kOut","kDiff"
"ENSXMAG00000001456",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001462",353.828846710745,238.883178113261,114.945668597484,123.937509515777
"ENSXMAG00000001491",313.959077028761,237.911388518409,76.0476885103515,161.863700008058
"ENSXMAG00000001591",345.827551737937,263.775612367546,82.051939370391,181.723672997155
"ENSXMAG00000001625",314.359078452088,240.015363981354,74.3437144707346,165.671649510619
"ENSXMAG00000001652",350.578949042466,198.778268786981,151.800680255485,46.9775885314958
"ENSXMAG00000001671",276.463607210335,141.258880539725,135.20472667061,6.05415386911477
"ENSXMAG00000001700",294.527291128221,226.783088829606,67.7442022986153,159.03888653099
"ENSXMAG00000001731",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001737",324.163311113911,194.266527733676,129.896783380235,64.3697443534406
"ENSXMAG00000001774",357.892857364893,143.883949085756,214.008908279138,-70.1249591933822
"ENSXMAG00000001796",309.616781171162,159.054994630998,150.561786540165,8.49320809083304
"ENSXMAG00000001859",287.128616886766,193.272220484616,93.8563964021495,99.4158240824666
"ENSXMAG00000001864",399.950507915786,186.38574617722,213.564761738566,-27.1790155613464
"ENSXMAG00000001865",267.591922253455,139.731298433195,127.86062382026,11.870674612935
"ENSXMAG00000001883",329.315117667875,255.206693566634,74.1084241012413,181.098269465393
"ENSXMAG00000001930",416.650548649372,149.580831314396,267.069717334976,-117.48888602058
"ENSXMAG00000001939",319.604272402377,227.685119451246,91.9191529511315,135.765966500114
"ENSXMAG00000002014",383.288581491709,186.111587178084,197.176994313625,-11.0654071355415
"ENSXMAG00000002063",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000002150",333.892486873367,151.480330503455,182.412156369912,-30.9318258664566
"ENSXMAG00000002157",293.173848409165,209.170921077302,84.0029273318632,125.167993745439
"ENSXMAG00000002285",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000002398",287.681968130177,141.93183030234,145.750137827837,-3.81830752549638
"ENSXMAG00000002421",383.685402879179,294.451459343684,89.2339435354945,205.21751580819
