"","kTotal","kWithin","kOut","kDiff"
"ENSXMAG00000001217",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001227",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001234",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001302",390.04055282968,152.180015597287,237.860537232393,-85.6805216351067
"ENSXMAG00000001366",372.876469768346,87.4761178462593,285.400351922087,-197.924234075828
"ENSXMAG00000001456",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001497",357.679947089308,46.3286467687539,311.351300320554,-265.0226535518
"ENSXMAG00000001502",472.132055446819,102.473367296811,369.658688150007,-267.185320853196
"ENSXMAG00000001579",476.219882381413,125.561667390311,350.658214991102,-225.096547600791
"ENSXMAG00000001618",386.801908175337,133.811584416974,252.990323758363,-119.178739341389
"ENSXMAG00000001731",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001774",357.892857364893,143.883949085756,214.008908279138,-70.1249591933822
"ENSXMAG00000001783",407.373183538873,25.2956912690014,382.077492269871,-356.78180100087
"ENSXMAG00000001856",357.940257352439,123.559257374938,234.380999977501,-110.821742602563
"ENSXMAG00000001864",399.950507915786,186.38574617722,213.564761738566,-27.1790155613464
"ENSXMAG00000001930",416.650548649372,149.580831314396,267.069717334976,-117.48888602058
"ENSXMAG00000002014",383.288581491709,186.111587178084,197.176994313625,-11.0654071355415
"ENSXMAG00000002063",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000002168",423.065083772117,94.6632210921078,328.401862680009,-233.738641587901
"ENSXMAG00000002275",398.59859798676,39.890808324003,358.707789662757,-318.816981338754
"ENSXMAG00000002285",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000002365",400.172660705496,73.3057999507112,326.866860754785,-253.561060804073
"ENSXMAG00000002386",428.907409537256,89.4388416086841,339.468567928572,-250.029726319888
"ENSXMAG00000002421",383.685402879179,294.451459343684,89.2339435354945,205.21751580819
"ENSXMAG00000002454",433.170241032961,47.8583604491375,385.311880583824,-337.453520134686
"ENSXMAG00000002471",401.416087643466,91.3481616242904,310.067926019176,-218.719764394885
"ENSXMAG00000002481",362.575238169148,140.796299208377,221.778938960771,-80.9826397523937
"ENSXMAG00000002493",401.931714006694,178.425017362986,223.506696643709,-45.0816792807229
"ENSXMAG00000002577",394.399277741285,275.93880450198,118.460473239305,157.478331262675
"ENSXMAG00000002591",392.658819006786,156.705980332221,235.952838674564,-79.2468583423432
"ENSXMAG00000002631",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000002656",356.133078264927,268.170632994947,87.9624452699807,180.208187724966
"ENSXMAG00000002662",377.829100474932,98.2846923547141,279.544408120218,-181.259715765504
"ENSXMAG00000002701",377.753887976282,251.800295677783,125.953592298499,125.846703379285
"ENSXMAG00000002809",389.460401502004,233.304220434059,156.156181067945,77.1480393661137
"ENSXMAG00000002844",378.73307375567,222.726151669921,156.006922085749,66.7192295841726
"ENSXMAG00000002912",358.218976624493,207.240882862583,150.978093761909,56.262789100674
"ENSXMAG00000002924",402.17889308053,282.515301001197,119.663592079333,162.851708921864
"ENSXMAG00000002927",395.276718287652,263.120042098101,132.156676189551,130.96336590855
"ENSXMAG00000002945",370.289063034005,38.2626137299523,332.026449304052,-293.7638355741
