target_id	length	eff_length	est_counts	tpm
g361.t1	849	687.532	4	0.304751
g362.t1	1956	1794.53	6	0.175137
g363.t1	1377	1215.53	77	3.3182
g364.t1	4887	4725.53	15	0.166272
g365.t1	1863	1701.53	2068	63.6632
g366.t1	5619	5457.53	178	1.70845
g367.t1	405	247.099	0	0
g368.t1	840	678.532	13.6318	1.05235
g369.t1	828	666.532	0	0
g370.t1	1278	1116.53	0	0
g371.t1	2595	2433.53	0	0
g372.t1	1032	870.532	0	0
g373.t1	2442	2280.53	1	0.022969
g374.t1	2838	2676.53	29	0.567549
g375.t1	2430	2268.53	112	2.58613
g376.t1	948	786.532	0	0
g377.t1	3183	3021.53	43	0.745451
g379.t1	1638	1476.53	1	0.035476
g380.t1	4455	4293.53	52	0.634405
g381.t1	3519	3357.53	0	0
g382.t1	495	334.723	2366	370.261
g383.t1	339	185.572	109	30.7675
g384.t1	5466	5304.53	3	0.0296246
g385.t1	5223	5061.53	31	0.320817
g386.t1	1086	924.532	1	0.0566573
g387.t1	3387	3225.53	42	0.682065
g388.t1	1506	1344.53	1	0.0389589
g389.t1	3006	2844.53	12	0.220978
g390.t1	1875	1713.53	1116	34.1154
g391.t1	1248	1086.53	6	0.289259
g392.t1	1791	1629.53	77	2.47517
g393.t1	774	612.532	73	6.24269
g394.t1	888	726.532	5	0.36049
g395.t1	705	543.649	6	0.578111
g396.t1	3195	3033.53	22	0.379885
g397.t1	300	150.872	1	0.347192
g398.t1	237	100.425	56	29.2094
g399.t1	1176	1014.53	5	0.258156
g400.t1	1098	936.532	5	0.279657
g401.t1	1743	1581.53	1	0.0331207
g402.t1	3264	3102.53	16	0.270136
g403.t1	2316	2154.53	31	0.75368
g404.t1	1557	1395.53	332	12.4617
g405.t1	2496	2334.53	297	6.66399
g406.t1	714	552.649	28	2.65391
g408.t1	1758	1596.53	1	0.0328096
g409.t1	1245	1083.53	74	3.5774
g410.t1	1467	1305.53	1	0.0401227
g411.t1	1410	1248.53	146	6.12535
g412.t1	2628	2466.53	1	0.0212369
g413.t1	846	684.532	0	0
g414.t1	912	750.532	0	0
g415.t1	2016	1854.53	5	0.141226
g416.t1	4839	4677.53	3	0.0335956
g417.t1	1731	1569.53	48	1.60195
g418.t1	3339	3177.53	596	9.82504
g419.t1	2637	2475.53	4	0.0846388
g420.t1	1410	1248.53	32	1.34254
g421.t1	2187	2025.53	0	0
g422.t1	534	373.092	52	7.30071
g423.t1	2511	2349.53	398	8.87319
g424.t1	2094	1932.53	27	0.731838
g426.t1	2730	2568.53	101	2.05975
g427.t1	1533	1371.53	217	8.28766
