target_id	length	eff_length	est_counts	tpm
g3551.t1	285	108.497	5	4.1762
g3552.t1	324	138.792	1387	905.61
g3553.t1	7203	6994.54	9	0.116604
g3554.t1	4347	4138.54	453	9.91927
g3555.t1	4362	4153.54	295	6.43624
g3556.t1	1803	1594.54	235	13.3556
g3558.t1	1080	871.535	1	0.103978
g3559.t1	1548	1339.54	678	45.8673
g3560.t1	2286	2077.54	221	9.63989
g3561.t1	1323	1114.54	7	0.569157
g3562.t1	1512	1303.54	315	21.8986
g3563.t1	762	553.97	5067	828.881
g3564.t1	3219	3010.54	245	7.3748
g3565.t1	2850	2641.54	1520	52.1453
g3566.t1	4524	4315.54	18	0.377977
g3567.t1	600	393.013	863	198.99
g3568.t1	624	416.81	187	40.6566
g3569.t1	663	455.414	646	128.545
g3570.t1	1137	928.535	42	4.09901
g3571.t1	1455	1246.54	2869	208.571
g3572.t1	882	673.603	148	19.9107
g3573.t1	240	76.9919	241	283.661
g3574.t1	633	425.727	361	76.843
g3575.t1	6168	5959.54	1	0.015206
g3576.t1	1332	1123.54	353	28.4719
g3577.t1	501	297.108	13	3.96512
g3578.t1	1896	1687.54	343	18.4191
g3580.t1	1032	823.535	579	63.7125
g3581.t1	4395	4186.54	1217	26.3429
g3582.t1	1329	1120.54	1676	135.543
g3583.t1	1542	1333.54	32	2.17457
g3584.t1	1437	1228.54	450	33.1935
g3585.t1	756	547.97	15	2.48063
g3586.t1	1143	934.535	264	25.5998
g3587.t1	609	401.934	144	32.4665
g3588.t1	612	404.893	45	10.0716
g3589.t1	4284	4075.54	889	19.7672
g3590.t1	669	461.323	125	24.5546
g3591.t1	909	700.535	226	29.2352
g3592.t1	471	268.453	52	17.5535
g3593.t1	636	428.727	1700	359.332
g3594.t1	1125	916.535	44	4.35042
g3595.t1	312	129.131	2114	1483.55
g3596.t1	558	352.135	131	33.7124
g3597.t1	2043	1834.54	197	9.73124
g3598.t1	837	628.798	9	1.29706
g3599.t1	885	676.535	47	6.29558
g3600.t1	1716	1507.54	0	0
g3601.t1	1743	1534.54	100	5.90543
g3602.t1	2820	2611.54	730	25.3312
g3603.t1	801	592.858	299	45.7034
g3604.t1	1050	841.535	51	5.49194
g3606.t1	3576	3367.54	136	3.65978
g3607.t1	369	175.857	38	19.5818
g3609.t1	1485	1276.54	8	0.567918
g3610.t1	1053	844.535	9	0.965724
g3611.t1	3054	2845.54	55	1.75157
g3612.t1	1113	904.535	695	69.6286
g3613.t1	1524	1315.54	3	0.206655
g3614.t1	660	452.505	1	0.200265
g3615.t1	573	366.774	1	0.247076
g3616.t1	570	363.884	0	0
g3617.t1	1548	1339.54	1	0.067651
g3618.t1	1245	1036.54	868	75.8864
g3619.t1	1476	1267.54	687	49.1162
g3620.t1	2301	2092.54	402	17.4093
g3621.t1	2019	1810.54	202	10.1105
g3622.t1	1365	1156.54	410	32.1257
g3623.t1	1671	1462.54	455	28.1925
g3624.t1	2913	2704.54	17	0.569619
g3625.t1	4074	3865.54	654	15.3319
g3626.t1	1473	1264.54	273	19.5641
g3627.t1	5493	5284.54	93	1.59479
g3630.t1	1695	1486.54	1374	83.7606
g3631.t1	1275	1066.54	21	1.78432
g3632.t1	609	401.934	3	0.676386
g3633.t1	1056	847.535	2396	256.187
g3634.t1	987	778.535	2	0.232798
g3635.t1	474	271.316	0	0
g3636.t1	1350	1141.54	1	0.0793851
g3637.t1	1257	1048.54	674	58.2512
g3638.t1	2649	2440.54	376	13.9615
g3639.t1	1143	934.535	348	33.7452
g3640.t1	1272	1063.54	1647	140.336
g3642.t1	855	646.734	171	23.9606
g3643.t1	621	413.893	165	36.1263
g3644.t1	546	340.449	4	1.06472
g3645.t1	1329	1120.54	0	0
g3646.t1	594	387.208	5	1.17018
g3647.t1	357	165.983	0	0
g3648.t1	1371	1162.54	0	0
g3649.t1	312	129.131	0	0
g3650.t1	1557	1348.54	904	60.7483
g3651.t1	912	703.535	5	0.644039
g3652.t1	1128	919.535	0	0
g3654.t1	5331	5122.54	1839	32.5331
g3656.t1	459	257.094	86	30.3134
g3659.t1	1596	1387.54	4	0.261243
g3660.t1	624	416.81	62	13.4797
